minute,rss_kb,handles,threads
0,114592,614,21
1,116084,619,19
2,115132,611,17
3,116444,641,20
4,116424,617,17
5,116948,630,18
6,117368,647,19
7,117432,632,16
8,117456,632,16
9,117240,630,16
10,117472,645,16
11,120852,670,20
12,120508,645,16
13,120532,645,16
14,120556,643,15
15,120708,651,15
16,121384,687,20
17,121436,665,16
18,121444,663,15
19,121456,661,15
20,121600,671,15
21,121788,688,18
22,122184,680,16
23,122204,680,16
24,122208,678,15
25,122360,688,16
26,122392,695,17
27,122896,697,16
28,122916,693,16
29,123052,693,17
30,123152,701,15
